"Document.ID","n.x","n.y","percent.misspelled"
"CMS-2017-0163-0837-2",4300,616,0.143255813953488
"CMS-2017-0163-0426-1",1050,150,0.142857142857143
"CMS-2017-0163-0596-0",7,1,0.142857142857143
"CMS-2017-0163-0649-0",7,1,0.142857142857143
"CMS-2017-0163-0738-1",211,30,0.14218009478673
"CMS-2017-0163-1077-1",2885,408,0.141421143847487
"CMS-2017-0163-1150-1",1634,231,0.141370869033048
"CMS-2017-0163-0708-1",1074,148,0.13780260707635
"CMS-2017-0163-1185-1",873,120,0.13745704467354
"CMS-2017-0163-1190-3",873,120,0.13745704467354
"CMS-2017-0163-1145-0",350,48,0.137142857142857
"CMS-2017-0163-1061-1",263,36,0.136882129277567
"CMS-2017-0163-1130-1",4270,584,0.136768149882904
"CMS-2017-0163-1064-1",417,57,0.136690647482014
"CMS-2017-0163-1127-1",4121,562,0.136374666343121
"CMS-2017-0163-0261-0",81,11,0.135802469135802
"CMS-2017-0163-0307-1",2003,272,0.135796305541687
"CMS-2017-0163-0373-0",37,5,0.135135135135135
"CMS-2017-0163-0513-0",89,12,0.134831460674157
"CMS-2017-0163-1090-1",980,132,0.13469387755102
"CMS-2017-0163-1079-1",1725,232,0.134492753623188
"CMS-2017-0163-0717-0",164,22,0.134146341463415
"CMS-2017-0163-0734-1",2742,367,0.133843909555069
"CMS-2017-0163-1140-1",1833,245,0.133660665575559
"CMS-2017-0163-0002-0",15,2,0.133333333333333
"CMS-2017-0163-0471-1",4090,541,0.132273838630807
"CMS-2017-0163-1076-1",410,54,0.131707317073171
"CMS-2017-0163-0064-0",190,25,0.131578947368421
"CMS-2017-0163-0402-1",7683,1010,0.131459065469218
"CMS-2017-0163-0866-1",45538,5984,0.131406737230445
"CMS-2017-0163-0966-1",45538,5984,0.131406737230445
"CMS-2017-0163-0884-1",2148,282,0.131284916201117
"CMS-2017-0163-0515-0",221,29,0.131221719457014
"CMS-2017-0163-0742-1",1476,193,0.130758807588076
"CMS-2017-0163-0544-0",23,3,0.130434782608696
"CMS-2017-0163-0898-0",23,3,0.130434782608696
"CMS-2017-0163-0905-1",652,85,0.130368098159509
"CMS-2017-0163-1056-1",407,53,0.13022113022113
"CMS-2017-0163-0117-0",85,11,0.129411764705882
"CMS-2017-0163-0751-0",31,4,0.129032258064516
"CMS-2017-0163-1072-1",1655,213,0.128700906344411
"CMS-2017-0163-0398-1",507,65,0.128205128205128
"CMS-2017-0163-0659-0",78,10,0.128205128205128
"CMS-2017-0163-1111-1",289,37,0.1280276816609
"CMS-2017-0163-0404-1",290,37,0.127586206896552
"CMS-2017-0163-1112-1",2375,302,0.127157894736842
"CMS-2017-0163-0747-2",1102,140,0.127041742286751
"CMS-2017-0163-1147-1",307,39,0.127035830618893
"CMS-2017-0163-0389-1",1567,199,0.126994256541161
"CMS-2017-0163-0263-0",419,53,0.126491646778043
"CMS-2017-0163-0676-0",479,60,0.125260960334029
"CMS-2017-0163-0105-0",8,1,0.125
"CMS-2017-0163-0122-0",24,3,0.125
"CMS-2017-0163-0189-6",8,1,0.125
"CMS-2017-0163-0262-0",32,4,0.125
"CMS-2017-0163-0295-0",480,60,0.125
"CMS-2017-0163-0778-3",8,1,0.125
"CMS-2017-0163-0848-0",8,1,0.125
"CMS-2017-0163-1188-1",2843,355,0.124868097080549
"CMS-2017-0163-1163-2",4725,588,0.124444444444444
"CMS-2017-0163-0144-0",201,25,0.124378109452736
"CMS-2017-0163-0500-1",1311,163,0.124332570556827
"CMS-2017-0163-1067-1",459,57,0.124183006535948
"CMS-2017-0163-1197-1",1105,137,0.123981900452489
"CMS-2017-0163-1126-1",15587,1930,0.123821132995445
"CMS-2017-0163-0505-0",81,10,0.123456790123457
"CMS-2017-0163-1194-1",3103,383,0.12342893973574
"CMS-2017-0163-0837-1",4547,560,0.123158126237079
"CMS-2017-0163-0332-0",448,55,0.122767857142857
"CMS-2017-0163-0126-0",49,6,0.122448979591837
"CMS-2017-0163-0625-0",482,59,0.122406639004149
"CMS-2017-0163-1159-1",11434,1394,0.121917089382543
"CMS-2017-0163-0561-0",115,14,0.121739130434783
"CMS-2017-0163-0760-1",502,61,0.121513944223108
"CMS-2017-0163-0316-1",1770,215,0.121468926553672
"CMS-2017-0163-0742-0",132,16,0.121212121212121
"CMS-2017-0163-0955-0",99,12,0.121212121212121
"CMS-2017-0163-0907-1",703,85,0.120910384068279
"CMS-2017-0163-0383-1",11217,1354,0.120709637157885
"CMS-2017-0163-0775-0",58,7,0.120689655172414
"CMS-2017-0163-0417-1",714,86,0.120448179271709
"CMS-2017-0163-1131-1",872,105,0.120412844036697
"CMS-2017-0163-1089-1",466,56,0.120171673819742
"CMS-2017-0163-0211-1",1082,130,0.120147874306839
"CMS-2017-0163-1178-1",591,71,0.120135363790186
"CMS-2017-0163-0614-0",50,6,0.12
"CMS-2017-0163-1168-1",951,114,0.1198738170347
"CMS-2017-0163-1169-1",4455,532,0.119416386083053
"CMS-2017-0163-0407-1",1776,212,0.119369369369369
"CMS-2017-0163-0922-1",528,63,0.119318181818182
"CMS-2017-0163-0101-1",151,18,0.119205298013245
"CMS-2017-0163-0981-1",235,28,0.119148936170213
"CMS-2017-0163-1118-1",278,33,0.118705035971223
"CMS-2017-0163-0539-0",93,11,0.118279569892473
"CMS-2017-0163-0788-0",110,13,0.118181818181818
"CMS-2017-0163-0306-1",2119,250,0.117980179329873
"CMS-2017-0163-1158-1",4751,560,0.117869922121659
"CMS-2017-0163-0230-0",34,4,0.117647058823529
"CMS-2017-0163-0472-0",102,12,0.117647058823529
"CMS-2017-0163-0892-0",119,14,0.117647058823529
"CMS-2017-0163-0805-0",298,35,0.11744966442953
"CMS-2017-0163-1121-1",435,51,0.117241379310345
"CMS-2017-0163-1097-1",538,63,0.117100371747212
"CMS-2017-0163-0403-1",3898,454,0.116469984607491
"CMS-2017-0163-0484-0",43,5,0.116279069767442
"CMS-2017-0163-0425-1",553,64,0.115732368896926
"CMS-2017-0163-0523-0",147,17,0.115646258503401
"CMS-2017-0163-1068-1",710,82,0.115492957746479
"CMS-2017-0163-1156-1",3752,433,0.115405117270789
"CMS-2017-0163-0055-0",26,3,0.115384615384615
"CMS-2017-0163-0164-0",26,3,0.115384615384615
"CMS-2017-0163-0217-0",26,3,0.115384615384615
"CMS-2017-0163-0599-0",52,6,0.115384615384615
"CMS-2017-0163-0973-0",52,6,0.115384615384615
"CMS-2017-0163-1106-1",2036,233,0.114440078585462
"CMS-2017-0163-0015-0",35,4,0.114285714285714
"CMS-2017-0163-0391-4",1130,129,0.114159292035398
"CMS-2017-0163-1138-1",432,49,0.113425925925926
"CMS-2017-0163-0018-0",53,6,0.113207547169811
"CMS-2017-0163-0282-0",398,45,0.113065326633166
"CMS-2017-0163-0836-0",186,21,0.112903225806452
"CMS-2017-0163-1113-1",975,110,0.112820512820513
"CMS-2017-0163-0212-0",80,9,0.1125
"CMS-2017-0163-0709-0",125,14,0.112
"CMS-2017-0163-0517-1",1384,155,0.111994219653179
"CMS-2017-0163-0863-0",143,16,0.111888111888112
"CMS-2017-0163-0391-3",2947,329,0.111638954869359
"CMS-2017-0163-0848-1",899,100,0.111234705228031
"CMS-2017-0163-0040-0",117,13,0.111111111111111
"CMS-2017-0163-0128-0",18,2,0.111111111111111
"CMS-2017-0163-0149-0",36,4,0.111111111111111
"CMS-2017-0163-0859-0",18,2,0.111111111111111
"CMS-2017-0163-1081-1",5159,572,0.110874200426439
"CMS-2017-0163-0520-1",803,89,0.110834371108344
"CMS-2017-0163-1080-1",2106,233,0.110636277302944
"CMS-2017-0163-0844-0",398,44,0.110552763819095
"CMS-2017-0163-1120-1",5763,635,0.110185667187229
"CMS-2017-0163-0401-1",1994,219,0.109829488465396
"CMS-2017-0163-0573-0",146,16,0.10958904109589
"CMS-2017-0163-0576-0",146,16,0.10958904109589
"CMS-2017-0163-1085-1",14649,1600,0.109222472523722
"CMS-2017-0163-1082-1",14649,1599,0.109154208478394
"CMS-2017-0163-1143-1",881,96,0.108967082860386
"CMS-2017-0163-0419-1",340,37,0.108823529411765
"CMS-2017-0163-1186-1",5897,641,0.10869933864677
"CMS-2017-0163-1129-1",1960,213,0.108673469387755
"CMS-2017-0163-1133-1",805,87,0.108074534161491
"CMS-2017-0163-1162-0",167,18,0.107784431137725
"CMS-2017-0163-1036-0",427,46,0.107728337236534
"CMS-2017-0163-0681-1",810,87,0.107407407407407
