"doc1","doc2","distance"
"2019Advance_ap","CMS-2017-0163-0866-1",0.986383389539412
"2019Advance_ap","CMS-2017-0163-0966-1",0.986383389539412
"2019Advance_ap","CMS-2017-0163-1126-1",0.825249006950594
"2019Advance_ap","CMS-2017-0163-1085-1",0.806384777177941
"2019Advance_ap","CMS-2017-0163-1082-1",0.806364695444171
"2019Advance_ap","CMS-2017-0163-1135-1",0.779660723434732
"2019Advance_ap","CMS-2017-0163-1120-1",0.762612862799411
"2019Advance_ap","CMS-2017-0163-1142-1",0.757307758000576
"2019Advance_ap","CMS-2017-0163-1158-1",0.756625795656935
"2019Advance_ap","CMS-2017-0163-1102-1",0.739130816696466
"2019Advance_ap","CMS-2017-0163-1077-1",0.722907697021621
"2019Advance_ap","CMS-2017-0163-1159-1",0.720540393793475
"2019Advance_ap","CMS-2017-0163-1081-1",0.713443724773005
"2019Advance_ap","CMS-2017-0163-1166-1",0.70332823821334
"2019Advance_ap","CMS-2017-0163-0383-1",0.702753531938496
"2019Advance_ap","CMS-2017-0163-1169-1",0.698212531183008
"2019Advance_ap","CMS-2017-0163-1070-1",0.676377425837639
"2019Advance_ap","CMS-2017-0163-1099-1",0.668949812585146
"2019Advance_ap","CMS-2017-0163-1119-1",0.66156259169314
"2019Advance_ap","CMS-2017-0163-1186-1",0.658358627268186
"2019Advance_ap","CMS-2017-0163-1110-1",0.656905567805257
"2019Advance_ap","CMS-2017-0163-1127-1",0.651428710434934
"2019Advance_ap","CMS-2017-0163-0403-1",0.642384520278634
"2019Advance_ap","CMS-2017-0163-1059-1",0.635111837433653
"2019Advance_ap","CMS-2017-0163-1161-1",0.63125091418165
"2019Advance_ap","CMS-2017-0163-0402-1",0.631058038543036
"2019Advance_ap","CMS-2017-0163-1112-1",0.628511697765533
"2019Advance_ap","CMS-2017-0163-1094-1",0.625017140200241
"2019Advance_ap","CMS-2017-0163-0884-1",0.621362610918085
"2019Advance_ap","CMS-2017-0163-1116-1",0.605700291458656
"2019Advance_ap","CMS-2017-0163-1125-1",0.604207500707407
"2019Advance_ap","CMS-2017-0163-0747-1",0.603194081629043
"2019Advance_ap","CMS-2017-0163-1167-1",0.601619908102048
"2019Advance_ap","CMS-2017-0163-1165-1",0.596466952780794
"2019Advance_ap","CMS-2017-0163-1113-1",0.586514770929716
"2019Advance_ap","CMS-2017-0163-0912-1",0.586208126913567
"2019Advance_ap","CMS-2017-0163-1124-1",0.571132624574939
"2019Advance_ap","CMS-2017-0163-0406-1",0.564638604589891
